term,category,alternatives,note,condition,source_url
mothering,gendered,parenting|nurturing,Implies that only mothers care for children.,,https://apastyle.apa.org/style-grammar-guidelines/bias-free-language/gender
foreman,gendered,supervisor|superintendent,Gendered occupational title.,,https://apastyle.apa.org/style-grammar-guidelines/bias-free-language/gender
housewife,gendered,homemaker,Gendered occupational title.,,https://apastyle.apa.org/style-grammar-guidelines/bias-free-language/gender
salesmanship,gendered,selling ability,Gendered term.,,https://apastyle.apa.org/style-grammar-guidelines/bias-free-language/gender
stewardess,gendered,flight attendant,Gendered occupational title.,,https://apastyle.apa.org/style-grammar-guidelines/bias-free-language/gender
waitress,gendered,server,Gendered occupational title.,,https://apastyle.apa.org/style-grammar-guidelines/bias-free-language/gender
opposite sex,gendered,another sex,Implies a strict binary and overemphasizes differences between genders/sexes.,,https://apastyle.apa.org/style-grammar-guidelines/bias-free-language/gender
opposite gender,gendered,another gender,Implies a strict binary and overemphasizes differences between genders/sexes.,,https://apastyle.apa.org/style-grammar-guidelines/bias-free-language/gender
opposite-gender couples,gendered,mixed-gender couples,Implies a strict binary; use when partners have different genders/sexes.,,https://apastyle.apa.org/style-grammar-guidelines/bias-free-language/gender
birth sex,outdated,sex assigned at birth|assigned sex,Implies sex is an immutable characteristic without sociocultural influence.,,https://apastyle.apa.org/style-grammar-guidelines/bias-free-language/gender
natal sex,outdated,sex assigned at birth|assigned sex,Implies sex is an immutable characteristic without sociocultural influence.,,https://apastyle.apa.org/style-grammar-guidelines/bias-free-language/gender
wheelchair-bound,ableist,wheelchair user|person in a wheelchair,Pictorial metaphor implying restriction.,,https://apastyle.apa.org/style-grammar-guidelines/bias-free-language/disability
confined to a wheelchair,ableist,wheelchair user|person in a wheelchair,Pictorial metaphor implying restriction.,,https://apastyle.apa.org/style-grammar-guidelines/bias-free-language/disability
aids victim,ableist,person with AIDS,"Excessive, negative label.",,https://apastyle.apa.org/style-grammar-guidelines/bias-free-language/disability
meth addict,ableist,person with substance use disorder,Slur-like label; use person-first language.,,https://apastyle.apa.org/style-grammar-guidelines/bias-free-language/disability
mentally challenged,ableist,person with an intellectual disability,Condescending euphemism.,,https://apastyle.apa.org/style-grammar-guidelines/bias-free-language/disability
physically challenged,ableist,person with a physical disability,Condescending euphemism.,,https://apastyle.apa.org/style-grammar-guidelines/bias-free-language/disability
handi-capable,ableist,person with a disability,Condescending euphemism.,,https://apastyle.apa.org/style-grammar-guidelines/bias-free-language/disability
sight-challenged,ableist,blind person|person who is visually impaired,Condescending euphemism.,,https://apastyle.apa.org/style-grammar-guidelines/bias-free-language/disability
visually challenged,ableist,blind person|person who is visually impaired,Condescending euphemism.,,https://apastyle.apa.org/style-grammar-guidelines/bias-free-language/disability
